source_id,path,path_sha256,evidence,lambda_candidates,selection_status,data_used,test_used_for_selection,current_primary_policy
active_detector_geometry,src/protocol_v2/gate/multi_sphere_oos_detector.py,ee5c6710244e30ef6d7cf2782a4eb32e249d9bbf2dd101a3ed980447586846a5,"mean_std radius is mean distance plus lambda times distance std; lambda is a boundary input, not learned from test",caller supplied,fixed_without_selection,known train only for radii,False,True
active_protocol_runner,src/protocol_v2/experiments/runner.py,fe1e1173dc4a4d8e6d01e1803496022d4d1cbfcb56694a0675a4f0c509a40cbb,radius_lambda comes from config; mean_std does not select lambda and test_used_for_selection=false,1.0 default,fixed_without_selection,train_known for radius; no OOS selection,False,True
active_e2_config,configs/experiments/protocol_v2_textoir_v1/gate_core_dense.yaml,f05e72e02222b95db4ff6c1c8fffd2700c76c60e8911493f9fff16d91fc37501,dense frozen-MiniLM sweep fixes radius_lambda=1.0,1.0,fixed_without_selection,train_known only; test only evaluated,False,True
active_boundary_attribution_config,configs/experiments/protocol_v2_textoir_v1/multicenter_boundary_attribution.yaml,f07816b9db182f6d07dd65a5be15085ba076452b402cafa678931ac5ffc3497d,boundary-attribution controls fix radius_lambda=1.0; no lambda search is declared,1.0,fixed_without_selection,Known train/calibration diagnostic contract; no test selection,False,True
paper_contract,fulltex.tex,83322d7dff65ba22e489c67aaa2bfe70a8afb8ef8526e0a53294dfaf4557a61e,paper settings state lambda=0.5 for CLINC150 and 1 for other datasets,0.5/1.0 dataset-specific,historical_fixed_contract,paper text does not document a separate OOS selection split,False,False
historical_v19_tuned_runner,tools/experiments/cluster_separability/runner.py,31bf23ba7d0b8f21a8e7dc6ec6f6b1def293870470e5cad528fc9f4f5c1ee846,LAMBDA_CANDIDATES loop selects a constrained candidate on val_data,0.50..2.50,validation_oos_selected,legacy validation rows include OOS labels; not current protocol evidence,False,False
historical_corrected_runner,tools/gate/train_multisphere_corrected.py,0c2b0ce2f3c29f5549b260ac89b88e678be8126580b2c7accdda90a90886fc9c,tune_radius_on_val selects lambda and margin on validation,0.50..2.50,validation_oos_selected,legacy result only; keep out of current primary table,False,False
historical_cascade_gate_preparation,tools/eval/prepare_cascade_gates.py,521bcd036864188d7c928c5905619e3650293b49cca6431c0db0bb69fb28a885,cascade preparation fixes radius_lambda=1.0 while selecting only other Known-validation settings,1.0,fixed_without_selection,Known validation only; historical cascade contract,False,True
historical_true_lambda_artifact_reference,tools/analysis/run_prototype_gate_frozen_baseline_v19.py,e2eae9a062a5765406b85171cbd6b7da59c99c144e9e8c047ffb37ac8f0e6e9e,legacy prototype points to a pre-existing true_lambda_1p6 artifact; this is not a new selection run,1.6 artifact reference,historical_artifact_reference,selection provenance is historical and excluded from current primary evidence,False,False
r1_contract_repair,configs/experiments/protocol_v2_textoir_v1/r1_contract_repair.yaml,a606c6fed38914445503ac9d6a7c09fce45ce03a52750f49d90a430786e229c5,lambda fixed at 1.0; checkpoint selection uses Known calibration,1.0,known_only_selected_or_fixed,no validation OOS in active R1 contract,False,True
