dataset,kir,seed,method,oos_f1,f1_all,f1_u,f1_k,accuracy,id_recall,false_accept_rate,false_reject_rate,auroc,aupr_oos,effective_cluster_count,minimum_cluster_size,run_dir
banking77,0.25,13,fixed_k2,0.8445179584120983,0.6942125342425277,0.8445179584120983,0.6863017224441293,0.7785714285714286,0.8355263157894737,0.22974137931034483,0.16447368421052633,0.8865840517241378,0.9511886250485463,38,17,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/fixed_k2
banking77,0.25,13,mogb_minilm,0.8975725281231498,0.5220544414587288,0.8975725281231498,0.5022903316342857,0.8305194805194805,0.37763157894736843,0.019827586206896553,0.6223684210526316,0.8268370009074409,0.9089321509176868,47,10,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_minilm
banking77,0.25,13,mogb_partition_ours_boundary,0.916837361736993,0.6757053325275224,0.916837361736993,0.6630141730954451,0.8665584415584415,0.5736842105263158,0.0353448275862069,0.4263157894736842,0.876804673321234,0.9460288376458645,47,10,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/mogb_partition_ours_boundary
banking77,0.25,13,ours_partition_mogb_boundary,0.8993399339933993,0.6414134683819155,0.8993399339933993,0.6278383912444689,0.8396103896103896,0.5421052631578948,0.0603448275862069,0.45789473684210524,0.8675862068965517,0.943725000649045,38,17,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/ours_partition_mogb_boundary
banking77,0.25,13,random_partition,0.8404483663248271,0.660082507066534,0.8404483663248271,0.6505895671055713,0.7730519480519481,0.8539473684210526,0.24051724137931035,0.14605263157894738,0.89252722323049,0.9563496155748519,38,38,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/random_partition
banking77,0.25,13,single_centroid,0.8406072106261859,0.6577315978802118,0.8406072106261859,0.6481065656304237,0.7727272727272727,0.8368421052631578,0.23620689655172414,0.1631578947368421,0.8923945099818511,0.9566772846897644,19,77,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_13/single_centroid
banking77,0.25,42,fixed_k2,0.875835061045842,0.7328515645102931,0.875835061045842,0.7253261173242116,0.8217532467532468,0.8421052631578947,0.18060344827586206,0.15789473684210525,0.9061445099818511,0.9589125039840052,38,18,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/fixed_k2
banking77,0.25,42,mogb_minilm,0.9093069306930693,0.6009923308051042,0.9093069306930693,0.5847652466004745,0.8512987012987013,0.42894736842105263,0.010344827586206896,0.5710526315789474,0.8640250680580763,0.936922059461883,40,10,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_minilm
banking77,0.25,42,mogb_partition_ours_boundary,0.9243557772236076,0.7414261021053612,0.9243557772236076,0.7317982244675587,0.8814935064935064,0.6473684210526316,0.041379310344827586,0.3526315789473684,0.8927574863883849,0.9482773280204737,40,10,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/mogb_partition_ours_boundary
banking77,0.25,42,ours_partition_mogb_boundary,0.9178921568627451,0.6893290130339611,0.9178921568627451,0.6772993738850777,0.8681818181818182,0.5671052631578948,0.03146551724137931,0.4328947368421053,0.8932049682395645,0.953199341652942,38,18,../artifacts/s2c/runs/protocol_v2_textoir_v1/mogb_baseline_v1/banking77/kir_0.25/seed_42/ours_partition_mogb_boundary
