requirement_id,priority,attachment_requirement,previous_plan_stage,current_status,status,current_evidence,gap_or_next_action,stop_gate
P0-01,P0,All usable methods are normalized to one anonymous prediction-analysis schema,Stage 1,"Available fair/native/ADB rows use the declared base and method-specific fields; blocked methods are registered rather than fabricated.",部分完成,"results/analysis/unified_prediction_contract_v1/schema_manifest.json; results/analysis/unified_prediction_contract_v1/blocked_methods.csv","Convert each method only after final metrics, split, registry and selection audit are complete; keep blocked rows out of the row-level contract.","No final metrics or incomplete prediction is never converted into a valid row."
P0-02,P0,"Sample order/set, split, Known list, hashes and test-OOS selection are audited before comparison.",Stage 1,"441 method-cells align to the fair reference; 45 ADB cells remain external-contract rows because their semantics are not identical.",部分完成,"results/analysis/unified_prediction_contract_v1/alignment.csv; results/analysis/unified_prediction_contract_v1/contract_report.md","Complete alignment for any newly closed baseline and expose the exact reason for every external or failed cell.","Any sample, Known-list, split or selection mismatch blocks fair pooling."
P0-03,P0,"Fair, native-backbone, different-supervision and historical evidence are separated.",Stages 1/2/10,"The current report and manifests implement these layers for the rows that exist.",已完成,"docs/analysis/UNIFIED_COMPARISON_AND_MECHANISM_REPORT_V1.md; results/analysis/archive/analysis/unified_comparison_v1/contract_summary.csv","Preserve the same layer labels when adding baselines; do not collapse them into one ranking.","No cross-layer rank or claim is allowed."
P1-01,P1,"Reuse completed MSP, Energy, kNN, LOF, ADB and MOGB results without rerunning closed work.",Stage 2,"Fair native/MOGB results and ADB external results are available; DA-ADB is only partially replicated.",部分完成,"results/analysis/archive/analysis/unified_comparison_v1/method_summary.csv; docs/archive/analysis/ADB_GPU_RUNTIME_THREE_SEED_V1.md; docs/analysis/DA_ADB_CURRENT_PROTOCOL_SUMMARY_V1.md","Record exact coverage per method and do not call the external BERT rows same-backbone fair.","Do not repeat a closed artifact or use a legacy single-cell number as a current matrix row."
P1-02,P1,"Complete KNNCL, DA-ADB, OpenMax, DOC, DeepUnk and DCLOOS according to the stated priority.",Stage 2,"KNNCL and OpenMax/DOC/DeepUnk have no current final-metrics contract; DA-ADB has only StackOverflow three-seed external summary; DCLOOS has no current final metrics.",未完成,"results/analysis/unified_prediction_contract_v1/blocked_methods.csv; docs/analysis/BASELINE_EXECUTION_STATUS_V1.md","Run one StackOverflow/KIR=.50/seed=42 smoke per missing method; first audit the existing DA-ADB cell and do not repeat a valid run without a contract/adapter reason, then expand only a passing method to the declared matrix.","No smoke pass means no matrix expansion and no placeholder metrics."
P1-03,P1,"Represent DCLOOS as a supervision-strength layer: none, pseudo-OOS, external-OOS, and both where feasible.",Stages 2/7,"The reduced and interrupted states are registered, but no converged supervision ablation frontier exists.",未完成,"docs/archive/analysis/DCLOOS_CONTRACT_STATUS_V1.md; docs/archive/analysis/DCLOOS_CURRENT_PROTOCOL_BLOCKER_V1.md","First obtain a fixed-registry converged single cell; then run supervision variants with separate manifests and costs.","Intermediate predictions, timeout runs and different Known lists cannot enter the frontier."
P1-04,P1,"Control backbone versus method with StackOverflow/KIR=.50 and fixed seeds.",Stage 3,"Current evidence has MiniLM S2C and external BERT ADB, but not the requested S2C-BERT and ADB-MiniLM 2x2 control.",未完成,"results/analysis/archive/analysis/unified_comparison_v1/contract_summary.csv; docs/archive/analysis/ADB_GPU_RUNTIME_THREE_SEED_V1.md","Run only after the external runtime and data adapters pass smoke; keep split, evaluator and calibration rule fixed.","Backbone control is invalid if the Known list, evaluator or threshold protocol changes."
P2-01,P2,"Produce complete dataset x KIR performance heatmaps and ranking summaries for accepted methods.",Stage 4,"Fair heatmap, KIR curves, seed stability, Pareto and rank/forest evidence exist for the current fair layer.",部分完成,"figures/archive/analysis/unified_comparison_v1/fair_oos_f1_heatmap.png; figures/cross_protocol_tradeoff_v1/kir_curves_oos_f1_f1_all.png; results/analysis/archive/analysis/unified_comparison_v1/figure_manifest.json","Regenerate the final set only after the baseline contract closes; show unavailable cells as blocked rather than blank imputation.","A figure is not complete without a source CSV and contract-layer label."
P2-02,P2,"Report OOS F1--Known Recall Pareto and Known Recall--false acceptance operating curves.",Stage 4,"Pareto and several operating-point curves exist, but coverage is split across fair/MOGB/ADB packages and is not a complete all-method unified curve set.",部分完成,"figures/cross_protocol_tradeoff_v1/pareto_oos_f1_known_recall.png; figures/archive/analysis/mogb_operating_point_visuals_v1/stackoverflow_operating_curves.png; figures/archive/analysis/operating_point_diagnostic_v1/stackoverflow_operating_points.png","Build one calibration-only operating-curve source for each accepted method and annotate post-hoc diagnostic curves separately.","Test-OOS optimum may be shown only as post-hoc analysis, never as the main selected point."
P2-03,P2,"Include mean/std, paired bootstrap CI, win/tie/loss and effect size for completed comparisons.",Stages 4/10,"Fair paired statistics and several ADB/DA-ADB CI packages exist; they do not cover missing methods.",部分完成,"results/analysis/archive/analysis/unified_comparison_v1/paired_statistics.csv; results/analysis/archive/analysis/adb_paired_inference_v1/paired_inference.csv; docs/analysis/DA_ADB_CURRENT_PROTOCOL_SUMMARY_V1.md","Apply the same statistical unit and fixed RNG to every method that reaches final metrics.","No CI or win/loss statement is produced for a method without aligned paired cells."
