dataset,seed,requested_kir,known_count,effective_kir,intent_count,registry_sha256
banking77,100,0.1,8,0.1038961038961039,77,9c8ef43d57b4b0ab42d0a43d9785bfd3d95e56c1d6f871b26435cf336d042987
banking77,100,0.2,15,0.19480519480519481,77,e7f7c80c245de87bc0aa78fa926c87daabb2852eded4836e92b2a2c79877c91a
banking77,100,0.25,19,0.24675324675324675,77,cee94be1dc35ed82dbcd6693d8f99fd506eb6cb7da2ec5febf88309e912b92b2
banking77,100,0.3,23,0.2987012987012987,77,0573bb392c894e3df8ae1455f8106eb49e42c1a4c1d785507fb56b7b7347ae63
banking77,100,0.4,31,0.4025974025974026,77,22d8301d32baee8a7a224e55ea91ba9fb4422aa877ac2c3d414ae502a1e63c24
banking77,100,0.5,38,0.4935064935064935,77,8d6bb3fad625a02087eb4e96cc79ce91394df657fc184e68a62e109ecc3e4b86
banking77,100,0.6,46,0.5974025974025974,77,477edd763ecc47b0987a34e18de6346baf62222b7deb3e955a3febaf7946a339
banking77,100,0.7,54,0.7012987012987013,77,57a4122066d10fe518b45edd8e581055978d22f8420c55685486d584c05bdbb1
banking77,100,0.75,58,0.7532467532467533,77,52e8e0ef5572594ad221bae03c8cd525942aa750df3ae56643e3b5ba249dad11
banking77,100,0.8,62,0.8051948051948052,77,104ee02e384c6f920d4d94e346b9c80fdcb9531b670ea42b863b41335c119bef
banking77,100,0.9,69,0.8961038961038961,77,d7f28c5dc72f574968b6ceebb61c993108ae57325e8dad6d421132970fd2e891
banking77,123,0.1,8,0.1038961038961039,77,71223cbbf95d1719522a53ae71664bf310256c6c8c1ea4e680e9d4e3a11a13da
banking77,123,0.2,15,0.19480519480519481,77,3ef6aa2b28faec1b29f283f12e6e2e188f01cdca56a3ab287c0c67a479867ddd
banking77,123,0.25,19,0.24675324675324675,77,f592ab2f3e26e5d3825cfca0b5315a4a2cdda0cdf012f4ffd03ecb008f689ede
banking77,123,0.3,23,0.2987012987012987,77,e63be857603a8cd511f86383e31ab3ccea7e7bd33de0847216abc8bbb4d5c7e5
banking77,123,0.4,31,0.4025974025974026,77,08cf8b4a20f5b4c0e1b6b8fc77816ec7b09e8bf21cdb5dfb0c68a2a9605974d1
banking77,123,0.5,38,0.4935064935064935,77,2751d704d8d37e3ad45127b0415a15f66c7241a7e281619f378e1961631e62f8
banking77,123,0.6,46,0.5974025974025974,77,11d226c755336c0e9b342dac287fcca9917e61f2eccb63459f377bf26187da24
banking77,123,0.7,54,0.7012987012987013,77,21003e0302229bf5bce8987f25aac9c3ec00b72e05814b312e641238f1440f4e
banking77,123,0.75,58,0.7532467532467533,77,a3f3a81bc60512add1f19721e189167ef52efd22d3c4bce08c9dca32cf753b7e
banking77,123,0.8,62,0.8051948051948052,77,0af3cb1c528e9867b281220d8b2b2152f7f1b48872096b20994eee668bfba752
banking77,123,0.9,69,0.8961038961038961,77,337f8991a9dfb0fa2a559345810c8e8bb2a903e4a36747233c6c103ae002c182
banking77,13,0.1,8,0.1038961038961039,77,d79a8f8616daed175f252a09f23d28aba3bead781077ae4f0948344631f43a6c
banking77,13,0.2,15,0.19480519480519481,77,44fe9c717ade75a78270c81fc34c2d8c670e30011e562f2386344d8eacb3795e
banking77,13,0.25,19,0.24675324675324675,77,14848ff338b106e2cce78c22fc3aacac06be8113469123f19c38f246914d0647
banking77,13,0.3,23,0.2987012987012987,77,c20197a0cc6fda2d075bea5406ff9d9892d47371593ec8c52f11424b13895e1b
banking77,13,0.4,31,0.4025974025974026,77,a7370c11ad6d50d89adc3580fa28e0ae464a802a128911c2445a52380ea91344
banking77,13,0.5,38,0.4935064935064935,77,b95dd3108ecd1a1a5dcb6dd4fe152ff9f6834554a1845344f4ecab85fa5ed23f
banking77,13,0.6,46,0.5974025974025974,77,c5902d001fcb54877b68404c1e98bedf35f8a382625965bb56d13f682811ca9a
banking77,13,0.7,54,0.7012987012987013,77,64596ab61b32f4645bbd053a32f5a31f96621c03ef599a6cd2cfde4502fef0f1
banking77,13,0.75,58,0.7532467532467533,77,98bc0210eb76c7ec74a79a31ecac95338dedd3560625c90d3881c70181e24b82
banking77,13,0.8,62,0.8051948051948052,77,429ae65ed184688cb446729dd1a55bc77056da7b092b95d948ad4388acf537a1
banking77,13,0.9,69,0.8961038961038961,77,e60575c8c4bc0f85aff8477682425ba7e852d81f25b4d195a63616116647186a
banking77,42,0.1,8,0.1038961038961039,77,b6072d8f805a529ebaa873079c3c31c1d2ab893b4a65c0e05af81e8034eb94c9
banking77,42,0.2,15,0.19480519480519481,77,49ebfb749da7b3ba83ba19ec3d7ed229585f13e9c8d26a1eff97d51eb0a341e1
banking77,42,0.25,19,0.24675324675324675,77,c940bb31dc4992547d1ef3efe53e8ffa800cd463cfd043aa1319585119799793
banking77,42,0.3,23,0.2987012987012987,77,f018e57671c27c7644456114bfb58b3ddecd8596ab82abbbb1a797605191a9fb
banking77,42,0.4,31,0.4025974025974026,77,b74fb8bd7bcff6fb4eb44e2b46008fcc0caa8fc21d3f88d45b206f6920cec8b8
banking77,42,0.5,38,0.4935064935064935,77,765e3cb338687dc5976e0e3a0745be9ac0d9b5836e529e3ccc7fd679f17775e1
banking77,42,0.6,46,0.5974025974025974,77,7a5914012efffff742e44e0be88918a5a141f403c7186ba9cdddb5d3c9e4c228
banking77,42,0.7,54,0.7012987012987013,77,094db0ec9f6cc2ebf2b6b1da293ce749fcdbbe809678f7da5fee3e660d69ed37
banking77,42,0.75,58,0.7532467532467533,77,a548a4af9a0479d632af0f986259a2aac0d533017df7d293926229789f1f04b2
banking77,42,0.8,62,0.8051948051948052,77,568fdc6ab98da1fd3e5caaa3a8b882432fdd3db543a5caa33ba6c7396708d05a
banking77,42,0.9,69,0.8961038961038961,77,15b62cca0416f4da0df8d382ae07acef5e7af12eaa202e8e61edf5307486526c
banking77,87,0.1,8,0.1038961038961039,77,38689b6ecde05b59165d29e456e158aebe74e55f9124f0661b335106adf0029b
banking77,87,0.2,15,0.19480519480519481,77,09d1c039a644730d9d2f7f2971cc9a56082adb947390be4dc14a53763c68ec8b
banking77,87,0.25,19,0.24675324675324675,77,35d9ba87dd9a05480442ddfffd799eed7af61a06dad8f9346be324bb6a3d040c
banking77,87,0.3,23,0.2987012987012987,77,9afea0305d7e5dc70f7f18461ce88404ea2b76f69ffbef34a0072339907bf386
banking77,87,0.4,31,0.4025974025974026,77,2c532ae9369a5c43b968af9d5cd7d1fa6064259ff5d39ed00cc4cad7d9770456
banking77,87,0.5,38,0.4935064935064935,77,5478968a503af2cceaa68d317a5da89563e8f25ef053fbea048e4ad8e2c74993
banking77,87,0.6,46,0.5974025974025974,77,e3d616c0c90dad7f209ecf3284465803aa0d91ba4c69e8f8bf8f7586613a2c5c
banking77,87,0.7,54,0.7012987012987013,77,a029a0ba77fa8943ba169197d1dc2ef698e20a0941a4ba9cff20d9f10a6b0b90
banking77,87,0.75,58,0.7532467532467533,77,6f4338935d65a587c4cf6bd27b5548f4dd69ea8f4cec7dbd38590426ff328747
banking77,87,0.8,62,0.8051948051948052,77,4e2bd2f197e8faae0956e6ad56cfaeecd56cb87abd07b3a9df9b9d4cfbd28c80
banking77,87,0.9,69,0.8961038961038961,77,7940f74704a385bbe09039096e71a393f94cf413ccb4fcff8565a4234fec021c
clinc150,100,0.1,15,0.1,150,5179ef62922d9e6dabf6728fb7c0d896a6a21385a0ee449a96c845c02e13565c
clinc150,100,0.2,30,0.2,150,29f687dd06ba750d793a2f521766f698784c42a141611d8be4260e8f70908a9b
clinc150,100,0.25,38,0.25333333333333335,150,6500699d649bcd9a9c6b71a335470497aea055fa6fc475bdfe130678c4023422
clinc150,100,0.3,45,0.3,150,b08da3c0e654d38adf158ca2c01fd3911e168e8b50231165117b90936c70d8b2
clinc150,100,0.4,60,0.4,150,9b72f3761050fbc9008083df0ab323b1cc274f111decfaf02e94520eff8b6bd0
clinc150,100,0.5,75,0.5,150,cb26bc61ab1be8cec50b06b9142e0024ce4d4554e939b2b920fc78c46e96eb40
clinc150,100,0.6,90,0.6,150,bb988500a5fd5f9264850573dd0cef4895fbb9f98a1a8eec31b625d2169cae4c
clinc150,100,0.7,105,0.7,150,111369cc654a95db255b7b2fba1061a56d81f6c1c18ddc0779c37bef01898faf
clinc150,100,0.75,112,0.7466666666666667,150,e8352c83776c6137137d5bf61729d1535957f279a0f8ecc39a056804fbc00a46
clinc150,100,0.8,120,0.8,150,96039cb2f886ce403ebcbb30be3df8a2b1b1217acce5c35e83a0174b2d4607be
