sample_id_sha256,gold_is_oos,categories,k1_prediction,k2_prediction,k1_selected_intent,k2_selected_intent
96a023c29c67491a1e7495467a49ce1ad56eb8de4f27dbf6cee67a4c7be8cac3,0,k2_changed_center_or_intent,0,0,oracle,oracle
cc2b2791a2f732153f10dd04d15815446b6364921700e168f7e2b117762aef6b,0,k1_false_reject_k2_correct_known|k2_changed_center_or_intent,1,0,osx,qt
94517c29925db047aee6f24155b546c41ec0107f1a191a6d96db3df388c13264,0,k2_changed_center_or_intent,0,0,sharepoint,sharepoint
08bf591dff08ebfef9f51422a9c24a79f033ea37b3bdddae19cd7fd7633d7c5c,0,k2_changed_center_or_intent,0,0,sharepoint,sharepoint
dffdf5e1fd405f44e9bda65df9d8eade4e4354b1fc914f51a9f2d428e2900bdc,0,k2_changed_center_or_intent,0,0,sharepoint,sharepoint
f47b6087b7b15f8c64af18e6cda8e0d2691306d21b606540051c83261d1281cf,0,k2_changed_center_or_intent,0,0,scala,scala
0109ccd434f1ba747d417cc26f92c1a6ae4964793ec5614ba50144e21382ee3c,0,k2_changed_center_or_intent,0,0,linq,linq
eaf6525886a91141bf2bd84044c73f7676584eaab52c5c0a3c7e8f27ec844c56,0,k2_changed_center_or_intent,0,0,sharepoint,sharepoint
718bbbba3c18a69f5f4cc9caf73eade7183ef64f270db9e241873ba1a5881f44,0,k2_changed_center_or_intent,0,0,excel,oracle
664a690980993bdd509c84c265904f6d2afc88a251d22595e98d65803693e853,0,k2_changed_center_or_intent,1,1,osx,qt
9085364be7a3cede6df4a48ada8fdde9a41c3ff3e1c6a913967f0ad4a96d012d,0,k2_changed_center_or_intent,0,0,apache,apache
2a00bee201fdaf54b90af244f4da99a08cf8c4c53894d966873ebcaccd358b19,0,k2_changed_center_or_intent,0,0,qt,qt
27be6143b78d088ad0418f26b5c20b210166dd3fef8deeb605980567509b7785,0,k2_changed_center_or_intent,0,0,scala,scala
78e6c57e91db6db7574e3662105bdc5223ab15b738bc3badaa3a650651cdcaaa,0,k2_changed_center_or_intent,0,0,sharepoint,sharepoint
a128e60b1d7937ef5c6edccb3bc5efad5800e19ecffb6cca6b6dd9bedaa806b7,0,k2_changed_center_or_intent,0,0,osx,osx
d0e6ef356f2c6bad4c9dad88558abe6db5e8f5834086140cdc9589c830ad7090,0,k2_changed_center_or_intent,0,0,qt,qt
f381f027c314093d198479e3683ab3b92713231a44aa67457d909f5ea786ce90,0,k2_changed_center_or_intent,1,1,osx,osx
135a7eca16baaa8974dfaeb18ca437a03a24578e4438cf10546f3ecab31ea50a,0,k2_changed_center_or_intent,0,0,apache,apache
1dc7905815e869120c572ab80a6fc9fced67ea68af0403c1f182c795a28534fb,0,k2_changed_center_or_intent,0,0,apache,apache
fef1f338d46ccf8dd030481b498bb4c874fcc0b2e1709c1e7cc1165f66d7aec9,0,k2_changed_center_or_intent,0,0,oracle,oracle
e1a7972266d1df6a3970de47fc888db1bc4dbfc6022b316da882a1f2e21c9e28,0,k2_changed_center_or_intent,0,0,osx,osx
443d5410eddcd671d52e42becf8974d110e79a6de4d70095614dbf20658e0b17,0,unchanged_or_other,0,0,ajax,ajax
dcc08d53661b71cb38e847093039c36584004fbdbc44f624e5e20b5a8c6de286,0,k2_changed_center_or_intent,0,0,apache,apache
104ff25595f95d8a098b7bca9f1a680f75b419f537d47f438e94d651c2684640,0,k2_changed_center_or_intent,0,0,qt,qt
8545be34a7ed49a16dd8c0ab1979dfc6369cf918c9fc8006cecbbc0878f2483f,0,k2_changed_center_or_intent,0,0,osx,osx
c6eff204d8c3a851a872c9ed18300cf001798c9ceff5b4c5d43368a415cd2799,0,unchanged_or_other,0,0,ajax,ajax
958fbf04fa48b8bd9614a1b6f5a7451ec7f5db3f7be74a1ca5f17010f88719c1,0,k2_changed_center_or_intent,1,1,sharepoint,ajax
971877a588cde62924d7a6a9e64a495c7bcf6694985a8ab530e48dacbab41c80,0,k2_changed_center_or_intent,0,0,excel,excel
73a8375c3951b71432c52407d5cb1e92fd5a250be7c99bd98a8054880938134a,0,k2_changed_center_or_intent,0,0,osx,osx
