dataset,seed,requested_kir,known_count,effective_kir,intent_count,registry_sha256
banking77,0,0.1,8,0.1038961038961039,77,4fd5ab8742962c089e371c5acd727d4156595aaa25847aef01a4db522d793192
banking77,0,0.2,15,0.19480519480519481,77,1643ee8ac4d3c4abba7eb5a54019ab9b05081a6d0444438dd6e2fa63bc3f0e05
banking77,0,0.25,19,0.24675324675324675,77,767ab41d2caf9b668d71248fd3b8410fdb9811037299c5c1972bd9f6aae48285
banking77,0,0.3,23,0.2987012987012987,77,70253996499620d0d11651aa2f34e342379550637216fcb0e9887e69e7007967
banking77,0,0.4,31,0.4025974025974026,77,bc7d112395247931854d9790f72977913752adc1ebf88adc0eb503ddc3a29013
banking77,0,0.5,38,0.4935064935064935,77,cf64538465b3de50b9ec14c77d2a6b45a8719cb800f65f27ff4b541eab766915
banking77,0,0.6,46,0.5974025974025974,77,a355798bea4540427e0f4acbdea8f22a0f79b9b75048075e216de59045ef043e
banking77,0,0.7,54,0.7012987012987013,77,85188538bdc57ff4249d1b9a7c29a744b89ac4d3b5b6d0abd4407d68b4da1b47
banking77,0,0.75,58,0.7532467532467533,77,14419553f911eac836294ab1b8a01e120db62f13022f0e72675e909fab49cd43
banking77,0,0.8,62,0.8051948051948052,77,426871bdc8274d87d8a374e870d9bd54063dd8808fa9cd8e6b7498eb8f6131b4
banking77,0,0.9,69,0.8961038961038961,77,6cc70320f25dc63eafd3d36834f50c3e3d6a1ccb1396dd395d1d0d99ebfe158d
banking77,1,0.1,8,0.1038961038961039,77,fbafe8592c580c5f55ef29637136dc43caabd3dfb35502cee9d5663d9588f5c4
banking77,1,0.2,15,0.19480519480519481,77,f5c16a161b4d4ad884c22d373fdbc42e2d95e74d2c2de3b5467ec8174398381a
banking77,1,0.25,19,0.24675324675324675,77,31aed428deec867fde965ffe7f011ab115fa072a1c18536bbf3e4a6a3590f709
banking77,1,0.3,23,0.2987012987012987,77,196f73b01155a47153cec259387634f4653e088d446da6f9c2635596b4638ff8
banking77,1,0.4,31,0.4025974025974026,77,94a053b9f6d9f3ffdc447281fb5a041049a3044794615bd8619c41db2501e0c4
banking77,1,0.5,38,0.4935064935064935,77,d06d5a2588bc88e792cd95a4a7d8061826a1e658a64dbfd46d55a0bc7666526a
banking77,1,0.6,46,0.5974025974025974,77,f834ce77f0d808387fac6aa8115402b8aefad3834312d75c72c3f9f183217b63
banking77,1,0.7,54,0.7012987012987013,77,2e29b583562dde9df87a283cfd11abcd02b164407a21b1c89da32e5ac32cccfa
banking77,1,0.75,58,0.7532467532467533,77,a473991eae4b2de6753e9fef509691443a4791204373751c3aa38bc23a42fc1b
banking77,1,0.8,62,0.8051948051948052,77,8c366f39cf68cd2a5ad24cf9851921fb89a3eeab4af02dbdccc437bd10b2ea34
banking77,1,0.9,69,0.8961038961038961,77,1d8ab32a736b9ba6c94e7343d303b3c537aca975b2b7ce4215d3b245c04e8890
banking77,13,0.1,8,0.1038961038961039,77,3d0dd023e9eb82da9fe79ef7f290b8d36a68e673910ced9c04c9c536cee723d7
banking77,13,0.2,15,0.19480519480519481,77,33083a8c58a1e74395f0034e3318816cfd4efe7d3ca21b32c4ddbbb290a08bd0
banking77,13,0.25,19,0.24675324675324675,77,88710b9cfc345ffae58abbc108b95cc4150bd392484148e513e65a6123f11974
banking77,13,0.3,23,0.2987012987012987,77,001c3e921ab3a59cf531f6c81487e7d90938a90c4ae4fadb46f9fdff8f713ba2
banking77,13,0.4,31,0.4025974025974026,77,f11cfc24e8421c6a4de234ac16443e44e3c03bcba8d0b7ace15af80e32e7abbe
banking77,13,0.5,38,0.4935064935064935,77,1d023a5df254defd2f64e520da39de1320131a8e077a8cbbd486be4f24e5472c
banking77,13,0.6,46,0.5974025974025974,77,59a98de0d555eedb94d1510062eb0821e653073801fa227018b71f185303f6a8
banking77,13,0.7,54,0.7012987012987013,77,fca54a157b316310888ef24a389e3489c7ee9d12a9ec6caf8ad054cda8a6dc5e
banking77,13,0.75,58,0.7532467532467533,77,dc1fe8e9760fe187aeab8d4b7ea515ab1f6971037fb3b1c47c9667494fa6a0d4
banking77,13,0.8,62,0.8051948051948052,77,847f82fdfbd0e97df06f1d175a76a456238e09503ae0afe54defa17dcce33fd7
banking77,13,0.9,69,0.8961038961038961,77,02faba72babcbfe111935a096a5f4dcfc363070a25da9f8a31944421fc3d2f05
banking77,2,0.1,8,0.1038961038961039,77,ed6be0f7269ba4b854904b17150fe62e832069f498f99c492e74aeb799e8fdaa
banking77,2,0.2,15,0.19480519480519481,77,a9f5dfd5245fcd37d243793487655ffea19cc551175f9668b7cedec171f2f2df
banking77,2,0.25,19,0.24675324675324675,77,3ad7fbeacc90a5232f194b2689ea73f99ca834d1ea692c9ef783936cb4914856
banking77,2,0.3,23,0.2987012987012987,77,0d9b037ce57299b3c7c6916d2d6aee52e3da5beca33b471a102a95cf471abee5
banking77,2,0.4,31,0.4025974025974026,77,adfcf94066149b95efb59595206a7d8293de9e3904c4aee93dfd3e94259cd695
banking77,2,0.5,38,0.4935064935064935,77,f812e29bc5d4811d8ca8e695ed0201a6eb7c0b17ed456c4b6eb84781a8becc9d
banking77,2,0.6,46,0.5974025974025974,77,d79864cdb2866a7c9521e5fcbd95b2c89aceacf41c56d1482117a481e461b048
banking77,2,0.7,54,0.7012987012987013,77,860ecdc3236ecfa5e69411a052c055a5d9c48104417bfee29777ebfa17e07a14
banking77,2,0.75,58,0.7532467532467533,77,62364c60bfbe5d6e3b4e1a4b402f353f8737e0ed190d0ae1365dfd0df925d0f5
banking77,2,0.8,62,0.8051948051948052,77,1f9162542172ffef0796f76013672c19f6616d8d6826218cd532b8f23f1c5eab
banking77,2,0.9,69,0.8961038961038961,77,c8e789cb4aabc1df150abc5eedcae3e326205de493c3a8b5e7a0a5550055141a
banking77,3,0.1,8,0.1038961038961039,77,8c1300eabbd1acb3d4de5840f10b08c588df6b906dfed8e35a4136516812c598
banking77,3,0.2,15,0.19480519480519481,77,46505da5ff67372e82c6d154323f6c67955592a2faff94a55b222903465fe09f
