dataset,kir,seed,representation,threshold,oos_f1,oos_precision,oos_recall,known_recall,false_accept_rate,false_reject_rate
clinc150,0.25,123,trainable,1.1,0.9383160738406122,0.9639222941720629,0.9140350877192982,0.8631578947368421,0.1368421052631579,0.08596491228070176
clinc150,0.25,123,trainable,1.2,0.904637955513488,0.9822713257965057,0.8383771929824562,0.9394736842105263,0.060526315789473685,0.16162280701754386
clinc150,0.25,123,trainable,1.3,0.8302465193511305,0.9941878250229428,0.7127192982456141,0.9833333333333333,0.016666666666666666,0.28728070175438597
clinc150,0.25,123,frozen,0.75,0.9030915576694413,0.8237527114967462,0.9993421052631579,0.14473684210526316,0.8552631578947368,0.0006578947368421052
clinc150,0.25,123,frozen,0.85,0.9214691558441558,0.8574395770392749,0.9958333333333333,0.3377192982456141,0.6622807017543859,0.004166666666666667
clinc150,0.25,123,frozen,0.9,0.9335541295797971,0.8839670717365739,0.9890350877192983,0.48070175438596496,0.519298245614035,0.010964912280701754
clinc150,0.25,123,frozen,0.95,0.9407030919102075,0.9095004095004094,0.9741228070175438,0.612280701754386,0.387719298245614,0.02587719298245614
clinc150,0.25,123,frozen,1.0,0.9452801395247439,0.9397485912440399,0.9508771929824561,0.756140350877193,0.24385964912280703,0.04912280701754386
clinc150,0.25,123,frozen,1.05,0.9350269784172662,0.9591789667896679,0.912061403508772,0.8447368421052631,0.15526315789473685,0.08793859649122807
clinc150,0.25,123,frozen,1.1,0.9011792452830188,0.9747448979591836,0.837938596491228,0.9131578947368421,0.0868421052631579,0.16206140350877193
clinc150,0.25,123,frozen,1.2,0.6842861246768169,0.9916736053288926,0.5223684210526316,0.9824561403508771,0.017543859649122806,0.4776315789473684
clinc150,0.25,123,frozen,1.3,0.08724832214765102,1.0,0.0456140350877193,1.0,0.0,0.9543859649122807
clinc150,0.5,13,trainable,0.75,0.7981917236582822,0.6650569828085764,0.9979710144927536,0.22933333333333328,0.7706666666666667,0.002028985507246377
clinc150,0.5,13,trainable,0.85,0.8486124876114965,0.7410212029424491,0.9927536231884058,0.46799999999999997,0.532,0.007246376811594203
clinc150,0.5,13,trainable,0.9,0.8750160235867196,0.7844173753160193,0.9892753623188406,0.5831111111111111,0.41688888888888886,0.010724637681159421
clinc150,0.5,13,trainable,0.95,0.8945838837516513,0.8218446601941748,0.9814492753623189,0.6737777777777778,0.32622222222222225,0.01855072463768116
clinc150,0.5,13,trainable,1.0,0.9070904645476773,0.8535276073619632,0.9678260869565217,0.7453333333333334,0.25466666666666665,0.03217391304347826
clinc150,0.5,13,trainable,1.05,0.9191238416175233,0.8913398692810458,0.948695652173913,0.8226666666666667,0.17733333333333334,0.051304347826086956
clinc150,0.5,13,trainable,1.1,0.9220967274833478,0.9212962962962963,0.9228985507246377,0.8791111111111111,0.12088888888888889,0.07710144927536232
clinc150,0.5,13,trainable,1.2,0.8790246952172555,0.9538670284938942,0.8150724637681159,0.9395555555555556,0.060444444444444446,0.18492753623188407
clinc150,0.5,13,trainable,1.3,0.7750261597488665,0.9728546409807356,0.6440579710144928,0.9724444444444444,0.027555555555555555,0.35594202898550725
